Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-02-12,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-02-13,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-02-17,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-02-18,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-02-19,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-02-20,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-02-23,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-02-24,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-02-25,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-02-26,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-02-27,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-02,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-03,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-04,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-05,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-06,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-09,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-10,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-11,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-12,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-13,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-16,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-17,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-18,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-19,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-20,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-23,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-24,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-25,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-26,35.05624771118164,35.05624771118164,35.05624771118164,35.05624771118164,0,0.0,0
2015-03-27,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,9.0,0
2015-03-30,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-03-31,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-01,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-02,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-06,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-07,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-08,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-09,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-10,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-13,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-14,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-15,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-16,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-17,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-20,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-21,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-22,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-23,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-24,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-27,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-28,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-29,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-04-30,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-01,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-04,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-05,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-06,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-07,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-08,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-11,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-12,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-13,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-14,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-15,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-18,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-19,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-20,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-21,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-22,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-26,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-27,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-28,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-05-29,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-01,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-02,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-03,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-04,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-05,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-08,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-09,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-10,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-11,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-12,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-15,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-16,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-17,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-18,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-19,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-22,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-23,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-24,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-25,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-26,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-29,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-06-30,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-01,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-02,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-06,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-07,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-08,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-09,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-10,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-13,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-14,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-15,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-16,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-17,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-20,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-21,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-22,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-23,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-24,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-27,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-28,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-29,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-30,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-07-31,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-03,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-04,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-05,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-06,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-07,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-10,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-11,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-12,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-13,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-14,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-17,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-18,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-19,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-20,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-21,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-24,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-25,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-26,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-27,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-28,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-08-31,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-01,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-02,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-03,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-04,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-08,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-09,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-10,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-11,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-14,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-15,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-16,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-17,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-18,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-21,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-22,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-23,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-24,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-25,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-28,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-29,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-09-30,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-01,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-02,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-05,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-06,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-07,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-08,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-09,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-12,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-13,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-14,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-15,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-16,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-19,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-20,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-21,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-22,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-23,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-26,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-27,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-28,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-29,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-10-30,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-02,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-03,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-04,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-05,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-06,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-09,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-10,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-11,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-12,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-13,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-16,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-17,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-18,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-19,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-20,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-23,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-24,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-25,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-27,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-11-30,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-01,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-02,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-03,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-04,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-07,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-08,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-09,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-10,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-11,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-14,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-15,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-16,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-17,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-18,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-21,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-22,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-23,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-24,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-28,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-29,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-30,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2015-12-31,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-04,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-05,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-06,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-07,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-08,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-11,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-12,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-13,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-14,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-15,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-19,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-20,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-21,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-22,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-25,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-26,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-27,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-28,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-01-29,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-01,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-02,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-03,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-04,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-05,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-08,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-09,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-10,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-11,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-12,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-16,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-17,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-18,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-19,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-22,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-23,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-24,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-25,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-26,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-02-29,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-03-01,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-03-02,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-03-03,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-03-04,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-03-07,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-03-08,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-03-09,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-03-10,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-03-11,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-03-14,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-03-15,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-03-16,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-03-17,39.04999923706055,39.04999923706055,39.04999923706055,39.04999923706055,0,0.0,0
2016-03-18,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,9.0,0
2016-03-21,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-03-22,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-03-23,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-03-24,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-03-28,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-03-29,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-03-30,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-03-31,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-04-01,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-04-04,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-04-05,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-04-06,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-04-07,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-04-08,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-04-11,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-04-12,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-04-13,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-04-14,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-04-15,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
2016-04-18,43.49873352050781,43.49873352050781,43.49873352050781,43.49873352050781,0,0.0,0
